street_name,crime_number,load_shedding_status
KOODOO,5,0
SPRUCE,7,1
PAGODA,1,0
PAPAYA,2,0
TWELFTH,1,0
TWELVETH,3,0
WALLIS,5,0
KUIL,8,0
FIFTEENTH,2,0
FOURTEENTH,11,0
WOOLMORE,2,0
ANGLE,7,1
HARMONIE,7,0
BARCOMBE,12,0
KLIPFONTEIN,12,0
HAZENDAL VILLAS,3,0
HUMMINGBIRD,10,0
PEACOCK,5,0
VINCENT,10,0
JONATHON,5,1
BRANDON,2,0
MALLOW,2,0
ADEN,3,1
MIRIAM,4,0
NORTH LINK,8,1
LOWER KLIPFONTEIN,12,0
DR ABDURAHMAN,4,0
KLAPPERBOS,0,0
HUNTLEY,1,0
MARIGOLD,7,0
2ND,4,0
BELGRAVIA,12,0
VREDENDAL,10,1
MAINDY,7,0
DENCHWORTH,7,0
BROMLEY,8,0
GLEEMOOR,12,0
WESTBROOK,9,0
BOESCHOETEN,5,0
ASHBY,7,0
WILKSHIRE,12,1
ST ATHANS,8,0
ST BERNARDS,11,0
ST GOTHAS,6,0
ST MAURI,1,0
VOEL,11,0
VERSTER,6,0
ST SIMONS,3,0
ST FRUSQUIN,9,0
ST SILAS,0,0
ST JULIAN,11,0
ST PANCRAS,13,1
LUKE,0,0
JACOBUS,5,0
SWART,10,0
PETER,13,0
GARTH,12,0
BOESCHOTEN,9,0
MITCHELL,3,0
CLEVILY,11,0
BOLTON,1,1
LOUISVALE,11,0
CRANLEY,12,0
DUNBAR,10,0
OXLEY,12,0
MATLOCK,8,0
BUCKLEY,8,0
HAWFORD,2,0
MASSEY,3,1
ADULA,2,0
BAMFORD,9,0
SONI,5,0
WATFORD,7,0
SANDGATE,6,0
PLENDER,0,0
CRAVEN,10,0
MOSMAN,9,0
FAMILIE,11,0
PLINY,12,1
BIRDWOOD,10,0
MANLY,6,1
CARSON,11,0
CONNINGSBY,3,1
LASCELLES,5,0
CARRINGTON,13,1
NORWOOD,1,1
ENFIELD,8,0
FABIAN,3,0
KAYSER,4,0
HEATHCOTE,6,1
MARA,3,1
LOVEDALE,8,0
BON,10,0
LONGDON,8,0
TANCRED,10,0
ALDWINS,8,0
DONALD,1,0
DOMINIC,7,0
CAROLINA,9,1
DELLA,4,0
HENDRICKS,5,0
OLD KLIPFONTEIN,13,1
BEVERLEY,7,1
CAPUCHIN,8,1
BOYD,8,1
POOLE,1,0
TREMATON,6,0
CORNHILL,2,0
GOLF COURSE,7,0
LITTLE,3,0
GARLANDALE,5,0
GENERAL,5,0
LADY MAY,10,0
MELO,7,1
EIGTH,3,0
PARKWAY,9,0
NORTH BRIDGE,2,0
STAFF,8,0
AYRSHIRE,1,0
GUERNSEY,13,0
ANGLESEY,5,1
VAN SCHALKWYK,12,1
BLOM,9,0
SERGEANT,8,0
GLENFERRIE,5,0
ST  KILDA,12,0
HAYWOOD,5,0
TARONGA,7,0
BURWOOD,8,1
ROKEBY,12,0
BURNLEY,11,0
CRAWFORD,5,1
ST KILDA,0,0
CAMBERWELL,1,0
SICILY,6,0
BARMANIA,11,1
ARCTIC,2,0
DORMER,5,1
RAGLAN,5,0
TANNER,10,0
SEALE,13,0
HART,3,0
FREREDALE,8,0
OSTERLEY,0,0
BILSTON,9,0
LIMERICK,8,0
NICO,1,0
WILLIS,5,0
VELD,2,0
HOOD,13,0
BRESEE,6,0
BARKIS,8,0
RUST,6,1
BRAND,13,0
BENBOW,11,1
KORNE,1,0
CLAN,4,1
FORTESQUE,2,0
HONEYSIDE,3,0
CONQUEST,1,1
BELTHORN,6,0
REPULSE,13,0
WENS,10,0
TOESKOUER,13,0
KAROO,10,1
GYPSUM,5,1
HONEYSIDE WEST,8,0
JEBEL,11,0
WAHID,1,0
MIDDEL,4,0
GAMSA,8,0
ARBA,3,1
MERSA,3,0
GOTHIC,7,0
