Map level of detail,Crime Category,Totals and new cats,First aggragation,Incidents values,Date,Crime category selection,Station
Cosmo City,Theft out of or from motor vehicle,Total property-related crime,Total property-related crime,42,01/01/2023,Total property-related crime,COSMO CITY
Sunnyside,Theft out of or from motor vehicle,Total property-related crime,Total property-related crime,963,01/01/2023,Total property-related crime,SUNNYSIDE
Tarlton,Theft out of or from motor vehicle,Total property-related crime,Total property-related crime,10,01/01/2023,Total property-related crime,TARLTON
Temba,Theft out of or from motor vehicle,Total property-related crime,Total property-related crime,99,01/01/2023,Total property-related crime,TEMBA
Tembisa,Theft out of or from motor vehicle,Total property-related crime,Total property-related crime,161,01/01/2023,Total property-related crime,TEMBISA
Tembisa South,Theft out of or from motor vehicle,Total property-related crime,Total property-related crime,102,01/01/2023,Total property-related crime,TEMBISA SOUTH
The Barrage,Theft out of or from motor vehicle,Total property-related crime,Total property-related crime,14,01/01/2023,Total property-related crime,THE BARRAGE
Tokoza,Theft out of or from motor vehicle,Total property-related crime,Total property-related crime,14,01/01/2023,Total property-related crime,TOKOZA
Tsakane,Theft out of or from motor vehicle,Total property-related crime,Total property-related crime,80,01/01/2023,Total property-related crime,TSAKANE
Honeydew,Theft out of or from motor vehicle,Total property-related crime,Total property-related crime,608,01/01/2023,Total property-related crime,HONEYDEW
Garsfontein,Theft out of or from motor vehicle,Total property-related crime,Total property-related crime,310,01/01/2023,Total property-related crime,GARSFONTEIN
Germiston,Theft out of or from motor vehicle,Total property-related crime,Total property-related crime,357,01/01/2023,Total property-related crime,GERMISTON
Douglasdale,Theft out of or from motor vehicle,Total property-related crime,Total property-related crime,337,01/01/2023,Total property-related crime,DOUGLASDALE
Hillbrow,Theft out of or from motor vehicle,Total property-related crime,Total property-related crime,355,01/01/2023,Total property-related crime,HILLBROW
Florida,Theft out of or from motor vehicle,Total property-related crime,Total property-related crime,310,01/01/2023,Total property-related crime,FLORIDA
Hercules,Theft out of or from motor vehicle,Total property-related crime,Total property-related crime,225,01/01/2023,Total property-related crime,HERCULES
Eldorado Park,Theft out of or from motor vehicle,Total property-related crime,Total property-related crime,150,01/01/2023,Total property-related crime,ELDORADO PARK
Diepkloof,Theft out of or from motor vehicle,Total property-related crime,Total property-related crime,192,01/01/2023,Total property-related crime,DIEPKLOOF
Dobsonville,Theft out of or from motor vehicle,Total property-related crime,Total property-related crime,154,01/01/2023,Total property-related crime,DOBSONVILLE
Fairland,Theft out of or from motor vehicle,Total property-related crime,Total property-related crime,111,01/01/2023,Total property-related crime,FAIRLAND
Diepsloot,Theft out of or from motor vehicle,Total property-related crime,Total property-related crime,99,01/01/2023,Total property-related crime,DIEPSLOOT
Edenvale,Theft out of or from motor vehicle,Total property-related crime,Total property-related crime,96,01/01/2023,Total property-related crime,EDENVALE
Cleveland,Theft out of or from motor vehicle,Total property-related crime,Total property-related crime,114,01/01/2023,Total property-related crime,CLEVELAND
Elsburg,Theft out of or from motor vehicle,Total property-related crime,Total property-related crime,93,01/01/2023,Total property-related crime,ELSBURG
Evaton,Theft out of or from motor vehicle,Total property-related crime,Total property-related crime,83,01/01/2023,Total property-related crime,EVATON
Ga-Rankuwa,Theft out of or from motor vehicle,Total property-related crime,Total property-related crime,79,01/01/2023,Total property-related crime,GA-RANKUWA
Carletonville,Theft out of or from motor vehicle,Total property-related crime,Total property-related crime,123,01/01/2023,Total property-related crime,CARLETONVILLE
Edenpark,Theft out of or from motor vehicle,Total property-related crime,Total property-related crime,76,01/01/2023,Total property-related crime,EDENPARK
De Deur,Theft out of or from motor vehicle,Total property-related crime,Total property-related crime,55,01/01/2023,Total property-related crime,DE DEUR
Heidelberg (Gp),Theft out of or from motor vehicle,Total property-related crime,Total property-related crime,91,01/01/2023,Total property-related crime,HEIDELBERG (GP)
Eersterust,Theft out of or from motor vehicle,Total property-related crime,Total property-related crime,86,01/01/2023,Total property-related crime,EERSTERUST
Etwatwa,Theft out of or from motor vehicle,Total property-related crime,Total property-related crime,62,01/01/2023,Total property-related crime,ETWATWA
Hammanskraal,Theft out of or from motor vehicle,Total property-related crime,Total property-related crime,65,01/01/2023,Total property-related crime,HAMMANSKRAAL
Dawn Park,Theft out of or from motor vehicle,Total property-related crime,Total property-related crime,89,01/01/2023,Total property-related crime,DAWN PARK
Crystalpark,Theft out of or from motor vehicle,Total property-related crime,Total property-related crime,38,01/01/2023,Total property-related crime,CRYSTALPARK
Daveyton,Theft out of or from motor vehicle,Total property-related crime,Total property-related crime,66,01/01/2023,Total property-related crime,DAVEYTON
Doornkop,Theft out of or from motor vehicle,Total property-related crime,Total property-related crime,37,01/01/2023,Total property-related crime,DOORNKOP
Ennerdale,Theft out of or from motor vehicle,Total property-related crime,Total property-related crime,59,01/01/2023,Total property-related crime,ENNERDALE
Erasmia,Theft out of or from motor vehicle,Total property-related crime,Total property-related crime,49,01/01/2023,Total property-related crime,ERASMIA
Duduza,Theft out of or from motor vehicle,Total property-related crime,Total property-related crime,37,01/01/2023,Total property-related crime,DUDUZA
Fochville,Theft out of or from motor vehicle,Total property-related crime,Total property-related crime,57,01/01/2023,Total property-related crime,FOCHVILLE
Cullinan,Theft out of or from motor vehicle,Total property-related crime,Total property-related crime,45,01/01/2023,Total property-related crime,CULLINAN
Dunnottar,Theft out of or from motor vehicle,Total property-related crime,Total property-related crime,25,01/01/2023,Total property-related crime,DUNNOTTAR
Ekangala,Theft out of or from motor vehicle,Total property-related crime,Total property-related crime,33,01/01/2023,Total property-related crime,EKANGALA
Hekpoort,Theft out of or from motor vehicle,Total property-related crime,Total property-related crime,9,01/01/2023,Total property-related crime,HEKPOORT
Dube,Theft out of or from motor vehicle,Total property-related crime,Total property-related crime,2,01/01/2023,Total property-related crime,DUBE
Devon,Theft out of or from motor vehicle,Total property-related crime,Total property-related crime,7,01/01/2023,Total property-related crime,DEVON
Brooklyn,Theft out of or from motor vehicle,Total property-related crime,Total property-related crime,513,01/01/2023,Total property-related crime,BROOKLYN
Midrand,Theft out of or from motor vehicle,Total property-related crime,Total property-related crime,653,01/01/2023,Total property-related crime,MIDRAND
Lyttelton,Theft out of or from motor vehicle,Total property-related crime,Total property-related crime,499,01/01/2023,Total property-related crime,LYTTELTON
Boksburg North,Theft out of or from motor vehicle,Total property-related crime,Total property-related crime,358,01/01/2023,Total property-related crime,BOKSBURG NORTH
Benoni,Theft out of or from motor vehicle,Total property-related crime,Total property-related crime,323,01/01/2023,Total property-related crime,BENONI
Akasia,Theft out of or from motor vehicle,Total property-related crime,Total property-related crime,389,01/01/2023,Total property-related crime,AKASIA
Alberton,Theft out of or from motor vehicle,Total property-related crime,Total property-related crime,235,01/01/2023,Total property-related crime,ALBERTON
Boksburg,Theft out of or from motor vehicle,Total property-related crime,Total property-related crime,254,01/01/2023,Total property-related crime,BOKSBURG
