STR_NAME,STR_LONG,STR_LAT
MAIN,18.34215447421252,-34.16468501028755
LIGHTHOUSE,18.34215447421252,-34.16468501028755
PROTEA,18.32542348997701,-34.14363916791905
DISA,18.323563483662344,-34.14434786753379
STRELITZIA,18.323563483662344,-34.14434786753379
NERINA,18.32355986662334,-34.14506002290298
CLAN MONROE,18.32355959392949,-34.1457609271462
ALOE,18.32142134894886,-34.146469701057406
DREYER,18.323527330949403,-34.14220438358128
FORSYTH,18.324603754385176,-34.137337771538796
GLADIOLI,18.32357966960441,-34.13797669762792
BENNING,18.32357966960441,-34.13797669762792
GLADIOLA,18.323574229088074,-34.13867306675975
ARUM,18.323574229088074,-34.13867306675975
BEACH,18.322504683262718,-34.139381598363265
VAN DE HORST,18.323563025957736,-34.14009284669755
AFRICANER,18.323568591423967,-34.13938070244324
SOMERSET,18.323557457018936,-34.14080499180124
VAN IMHOFF,18.323492461615515,-34.14151906127038
HUSKISSON,18.32539906825886,-34.1422236973998
ERICA,18.325391376315718,-34.141772912495654
KOMMETJIE,18.325631924950297,-34.14090429879693
JACOB,18.32825451843134,-34.139392909180096
KELP,18.32494407761145,-34.13797744482381
MELKHOUT,18.32546649192304,-34.136999949898986
IXIA,18.3263174516392,-34.13694376962315
DIEMAR,18.32733555298065,-34.13704175407323
SURF,18.32818362096837,-34.13736417281385
KIRSTEN,18.32920906614771,-34.13868820556952
SEELIGER,18.331085391378373,-34.13755129973901
PIPERS,18.331085391378373,-34.13755129973901
OYSTER,18.33185255071064,-34.13799044391037
GREENWAYS,18.332460089082602,-34.1379937485301
FISHERMANS,18.32974761423512,-34.13939656080422
MARINERS,18.330663612893304,-34.13939930329777
PERIWINKLE,18.332961160293333,-34.139666478441555
KOMMETJIE MAIN,18.332318343938656,-34.140756039342975
BEACHCOMBER BAY,18.331917348744486,-34.14147520226605
RUBBI,18.33296737159885,-34.141111145637765
TEUBES,18.332961461720338,-34.1419044225668
SUSAN,18.331079656854815,-34.1422277363497
DE VILLIERS,18.331079656854815,-34.1422277363497
VAN DER POLL,18.327313561173405,-34.14126735692424
CRASSULA,18.325411351726867,-34.14292917754565
MOUNTAIN,18.332953679512332,-34.14295010589526
MAREE,18.334833094162413,-34.14294678144111
OSBORNE,18.33671229517109,-34.14295694843166
MARTIN,18.338689772526745,-34.142101058932646
WIRELESS,18.336684293012063,-34.140394315889544
SUNBIRD,18.336176079039173,-34.14128854977609
ANDREWS,18.333809654032734,-34.14199917772768
SWALLOW,18.33615267548067,-34.139165421378806
FLAMINGO,18.335122612354187,-34.1377107043987
HERON,18.335122612354187,-34.1377107043987
WEAVERS,18.33450966609501,-34.13816263434749
CANARY,18.334847928988026,-34.137470321229145
DUIKER,18.333284500556076,-34.13656936814395
TOPAZ,18.33801785858875,-34.13841824180009
RIVERSIDE,18.33801785858875,-34.13841824180009
BITOU,18.338783409559383,-34.13810909794102
PROTEA RIDGE,18.341156488897973,-34.13607037916716
SEDGE,18.341156488897973,-34.13607037916716
SADDLERS,18.341153325667538,-34.13653191814409
WARBLER,18.341131013440524,-34.136991160314224
CAMPHOR,18.340471647753247,-34.138264671047004
CHRISTINA,18.341244588472424,-34.1378467669673
NICHOLI,18.339995371059295,-34.13853030457874
FUCHSIA,18.339549626951918,-34.138117729374414
SANDSTONE,18.33920695372745,-34.13855986869743
SHRIKE,18.339954099874802,-34.14008223753308
GULL,18.341106409149727,-34.13945396474314
OTTER,18.341020923550886,-34.140858384633745
WAGTAIL,18.341708951680182,-34.14054484542341
SLANGKOP,18.346019950719068,-34.14413374067625
MIRA,18.348751574531022,-34.14592870239384
SIRIUS,18.348751574531022,-34.14592870239384
ORION,18.34819612715144,-34.14548853299049
CAPELLA,18.346539093995624,-34.14604765970823
HYDRA,18.346474791238975,-34.14704796992426
CASTOR,18.34816907602149,-34.147358975145245
JUPITER,18.34775579380786,-34.15109119132389
MILKY,18.34925429619749,-34.15219896047983
MARS,18.349564257626902,-34.15244744310417
PHOBUS,18.34818955371257,-34.15311780812178
MERCURY,18.34821535132504,-34.15409558609731
DESPINA,18.348504439763143,-34.153366236530715
HALLEY,18.349196525393346,-34.153248075357666
MI ZAR,18.349391885627114,-34.15408154495228
TAURUS,18.353959491526588,-34.15448879925027
SCORPIO,18.353959491526588,-34.15448879925027
VIRGO,18.354465746323932,-34.154051989357036
ASTEROID,18.353954577892132,-34.153781107703466
NEBULA,18.353954577892132,-34.153781107703466
PROTEUS,18.352126251636612,-34.154904248822824
TITAN,18.35157188018367,-34.1553883878101
HELENE,18.351075531906726,-34.15544488715738
NEPTUNE,18.350244904946198,-34.15433099895451
HYPERION,18.35078560765834,-34.15383350208939
LARISSA,18.35142187144397,-34.15328352549053
LYRA,18.352390825648637,-34.1538089273058
CERES,18.349976280731035,-34.15307451837782
DELTA,18.350369778967274,-34.15244830089777
POLARIS,18.350528774180606,-34.152291350438645
DELTO,18.350528774180606,-34.152291350438645
EUROPA,18.35103655207645,-34.15185456262176
VENUS,18.351552214024647,-34.150441950390885
PEGASUS,18.350985123618848,-34.15093702625498
HERCULES,18.351917768440927,-34.14989848077297
GALAXY,18.353455332958145,-34.15289952718811
ARIES,18.35503117077312,-34.151551079988586
ALCOR,18.35461715929661,-34.15021244743191
COMET,18.35461715929661,-34.15021244743191
BETA,18.355531687473473,-34.150253310696016
CALLISTO,18.35602509767846,-34.1506615694782
ALPHA,18.356959415282592,-34.15073858630551
AQUARIUS,18.356959415282592,-34.15073858630551
COLUMBIA,18.357338562797572,-34.15104482398384
AURIGA,18.35769005054563,-34.150764949548105
ANTARES,18.35699537445136,-34.15134502713483
APOLLO,18.3562671038288,-34.151320926734165
CYGNUS,18.355916842017034,-34.1516098175277
BOOTES,18.357050634353953,-34.15195156613559
SERPENS,18.35670944827859,-34.152830982896475
FORNAX,18.355879529103028,-34.1527680334022
LIBRA,18.355540701015343,-34.153063747765636
CORVUS,18.356442000832804,-34.15378064959645
CAPRICORN,18.356442000832804,-34.15378064959645
ANDROMEDA,18.356804903008143,-34.154071027565706
TUCANA LINK,18.357688110493598,-34.15361364077192
CRUX,18.358029039799522,-34.152738726506215
URSA,18.358421459643775,-34.15252442102781
MUSCA,18.358368714341125,-34.15198550728244
CENTAUR,18.358022223496636,-34.15045792746047
PAYNE,18.35983560646484,-34.14856525600322
WYNGAARD,18.35917642807168,-34.14846941428066
ADONIS,18.35917642807168,-34.14846941428066
PHEIFFER,18.359937030289743,-34.14812856384816
SOLOMONS,18.359269606369132,-34.14801915812686
KEATING,18.35801047486033,-34.14773987972781
THOMPSON,18.35866029035046,-34.14740972371738
LEVENDAL,18.359574872400064,-34.14647695002743
MATTHEWS,18.359807978224538,-34.14701004495956
LAGUMA,18.35919078470618,-34.14539090630445
RHINO,18.358071539348554,-34.146275279234125
BUFFALO,18.35853031428526,-34.14522518829386
CHEETAH,18.35853031428526,-34.14522518829386
SWAN,18.358182957223278,-34.14400185612604
SEAGULL,18.358182957223278,-34.14400185612604
CARNATION,18.35864782558843,-34.14389385320096
STORK,18.358131358608734,-34.14311136412986
KINGFISHER,18.357924251637296,-34.14352947538504
EAGLE,18.356499285548765,-34.1441823563018
FALCON,18.35698171896564,-34.145133699193494
DEER,18.35789999046989,-34.14617747126064
CEDARBERG,18.35516112908431,-34.145793504520924
CHAPMANS,18.355436073691113,-34.14555380020874
SENTINAL,18.355793864969392,-34.14572696278094
SIMONSBERG,18.35502727336779,-34.14568687822014
LEO,18.354729200972308,-34.146329876214175
PUMA,18.355910160064557,-34.14639016617061
WOODWARD,18.357864621731064,-34.14828676939248
ROCKDALE,18.353888648474403,-34.14706016732449
INDUS,18.353517427722984,-34.14738274888507
POLLUX,18.349756014469456,-34.14863398308593
CARINA,18.350540887710054,-34.14794624510347
DRACO,18.350249753998398,-34.14645950207337
ZODIAC,18.350249753998398,-34.14645950207337
PLUTO,18.350771529528085,-34.14688145546897
GEMINI,18.35109086264571,-34.14612814658969
AQUILA,18.350765960765624,-34.145894295504235
LYNX,18.35220859301005,-34.14432881975779
ALTAIR,18.35220859301005,-34.14432881975779
CETUS,18.353242685744284,-34.14516138670299
RIGEL,18.35373145542835,-34.14554709406302
SATURN,18.354239969161345,-34.14594642485841
JASMINE,18.354488599665526,-34.14349342869327
PETUNIA,18.355652026143257,-34.14304429010561
DOVE,18.356499369955365,-34.14329889574233
PELIKAN,18.356499369955365,-34.14329889574233
ROBIN,18.35590265205511,-34.142536263965326
ROSE,18.355423777802788,-34.142547272123785
ORCHID,18.355423777802788,-34.142547272123785
DAFFODIL,18.354899551168664,-34.142434085497925
HIBISCUS,18.354000617221796,-34.14244964226956
LILY,18.354354784613545,-34.14224190916464
DARTER,18.354091489256145,-34.14028203901231
PLOVER,18.354091489256145,-34.14028203901231
SPOONBILL,18.353429064304528,-34.14079240300234
CURLEW,18.352861147008312,-34.14142045231277
DAISY,18.35328542836427,-34.14286732494984
ATLANTIC,18.353353538949882,-34.139804872754404
HARRIER,18.356784332025853,-34.1371860376739
RAMERON,18.35684500095213,-34.138365052562996
CORMORANT,18.357276966374783,-34.13831773354118
BRITTLESTAR,18.35740117634979,-34.14002670562113
SEAHORSE,18.358580731887244,-34.14206163157504
PIPEFISH,18.358130197300778,-34.14093787016385
TEAL,18.358773886830416,-34.13712432497514
IBIS,18.3603048726857,-34.13723147496922
GREBE,18.361187881116045,-34.136832654521925
STEENBRAS,18.363299016066478,-34.14055568692976
TRIGGS,18.373283396523856,-34.136796840328294
SUNHILL ESTATE,18.373283396523856,-34.136796840328294
BOOYSEN,18.3741416513136,-34.13643121101647
DE STADLER,18.375386917644132,-34.13696881351894
LOCK,18.375386917644132,-34.13696881351894
VISTA,18.376503232258596,-34.13672206986325
WOOD,18.378259577687764,-34.1371772142278
CAPRI,18.381863093885325,-34.13592430562016
IBIZA,18.381863093885325,-34.13592430562016
VANCOUVER,18.38103148361772,-34.13507271487658
SHETLAND,18.38103148361772,-34.13507271487658
HILLSIDE,18.37751587637802,-34.1350436563468
LOCHIEL,18.37559726750641,-34.133206157568026
FRANCOLIN,18.37598482794914,-34.13189420352746
GUINEA FOWL,18.37598482794914,-34.13189420352746
MASONWABE,18.376007273327694,-34.130713362090816
MBEKWENI,18.37488293467913,-34.130234360985405
MYEZA,18.374189580287354,-34.129732753150435
KOLOBE,18.372926537411242,-34.13089374272023
BOKMAKIERIE,18.373762718345876,-34.13272578466373
FISH EAGLE,18.37007684633769,-34.13451667562901
WILDEVOELVLEI,18.366587619529067,-34.13585321459371
VANYA,18.36981805364529,-34.12947609489526
NOHASHE,18.36977874304833,-34.129806905597725
NDUNGANE,18.36966019356333,-34.130882085977156
ZEKELO,18.36966019356333,-34.130882085977156
ZENANI,18.369695933363296,-34.130535932573466
BINGA,18.370429389901037,-34.13110233432839
KANANA,18.37172907242011,-34.12953087544417
MASEMOLA,18.372539489309563,-34.129519243020006
HLATHI,18.369903728107108,-34.12885741967276
DIKO,18.36985743344597,-34.129136090128554
EGRET,18.36292750438303,-34.13589287438362
MINKE,18.340030742378417,-34.13028412312276
SOUTHERN RIGHT,18.340030742378417,-34.13028412312276
MILKWOOD,18.339767890235667,-34.13071440115559
ORCA,18.34036879227335,-34.131883828246714
NOKOTA,18.34000978960626,-34.134450509334165
SANDPIPER,18.34116251878688,-34.135152119563664
SEAWHEAT,18.34116003573161,-34.13561333594152
MARWARI,18.339459457109946,-34.13444754999356
HACKNEY,18.337795805695162,-34.134438404032274
HACKAMORE,18.33834967196663,-34.13444016475464
BRIDLE,18.338904992762274,-34.134444049293
PELICAN,18.335936970659457,-34.13444721422064
SQUIRE'S,18.337245589254515,-34.13443781267639
GANET,18.33544689915973,-34.13444005629226
THE POINT,18.335966580615352,-34.13286526109234
OYSTERCATCHER,18.337681700316175,-34.13093632394063
CASSELL,18.382065596391328,-33.92012023046718
ST ANDREWS,18.38309147551734,-33.91973546490583
REGENT,18.383924704108914,-33.920634397647476
KEI APPLE,18.383391410933466,-33.920972053542165
QUENDON,18.38433208001561,-33.921970688932234
QUANTOCK,18.381660005213718,-33.921342011269424
TRAMWAY,18.38151178407513,-33.92203994707849
KINGS,18.380897260844076,-33.922377185088536
QUEENS,18.37922817355481,-33.92179856889156
ALEXANDER,18.37833287394667,-33.921902235468735
AVENUE KOOSANI,18.380092510603497,-33.92392375535458
VICTORIA,18.380092510603497,-33.92392375535458
FIR,18.37963439740273,-33.924313611591344
CHELSEA,18.38004295626582,-33.925305565718375
ROCHESTER,18.379910539465836,-33.92547120278279
EDGEWATER,18.380635390813488,-33.92444711612822
PORTMAN,18.380964733805683,-33.924516386334155
BREVITY,18.381889952527725,-33.92440608963419
REGENT ,18.38033124335028,-33.92287017661103
DES HUGUENOTS,18.384273537420476,-33.92304320837312
KLOOF,18.384273537420476,-33.92304320837312
AVENUE FRESNAYE,18.38376013314492,-33.923770873710566
ILFORD,18.382448143816912,-33.92415871668166
AVENUE LA CROIX,18.383375300385595,-33.92431887531457
ST PATRICKS,18.38417119197701,-33.92503280695595
PRINCESS,18.383891986804002,-33.92529961329868
AVENUE ALEXANDRA,18.3833707161163,-33.925810873688455
BROMPTON,18.38225433573526,-33.92475951270659
BELLWOOD,18.382167490461942,-33.92583865000226
AVENUE BRITTANY,18.381661897555315,-33.926363501811544
AVENUE LE SUEUR,18.3840927301285,-33.92633286142938
OCEAN VIEW,18.384119588057594,-33.92852143987132
AVENUE ST BARTHOLOMEW,18.384119588057594,-33.92852143987132
AVENUE ST JEANS,18.381473424979678,-33.92746691892316
AVENUE CHARMANTE,18.379630318529713,-33.926666562833645
FLORIDA,18.377886460073235,-33.92846306165085
AVENUE ST LEON,18.377524156428052,-33.92927539019642
RAVINE,18.377119317662807,-33.92857187562564
BANTRY,18.37672249540967,-33.929303844962305
BOTANY,18.376353326737178,-33.928982697536554
SAUNDERS,18.377773926743465,-33.92467835610087
SEACLIFF,18.37764692156503,-33.924833226778716
CRAIGROWNIE,18.377845416624503,-33.92421668707678
NETTLETON,18.376930808191688,-33.93059030264356
ARCADIA,18.38215160567368,-33.929998920026726
AVENUE PROTEA,18.382810669329828,-33.931357113789446
AVENUE ST CHARLES,18.38383447320575,-33.931445726569116
SECOND BEACH,18.378280393116878,-33.93718100732986
CASTLE STEPS,18.379116152778284,-33.936668577620246
APOSTLE STEPS,18.378793607255577,-33.93660969613977
CLIFTON STEPS,18.378727576589114,-33.93673550908549
CLIFTON,18.37868724054314,-33.94101176535781
FOURTH BEACH,18.376539799973706,-33.940181289342505
THIRD BEACH,18.376532654278407,-33.940137710691204
THE RIDGE,18.372626892423295,-33.941458839900164
CLIFF,18.373471759474317,-33.94153526382199
GLEN BEACH,18.378470382264315,-33.947632331109965
STRATHMORE,18.378886839891265,-33.94736623099207
